true_fault_type,predicted_fault_type,P_fault,equipment,W_severity,W_detection,risk_score,risk_tier
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,1.0,100.0,Critical
B,B,1.0,Countershaft Bearing,0.55,0.685,37.67500000000001,Medium
OR,OR,1.0,Drive Motor Bearing,0.65,0.995,64.67500000000001,High
B,B,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.7625,61.0,High
B,B,0.995,Rotor Bearing Housing (Impact/Hammer),0.8,0.9924999999999999,79.003,High
OR,OR,1.0,Countershaft Bearing,0.55,0.9775,53.7625,Medium
IR,IR,1.0,Eccentric / Main Shaft Bearing,1.0,0.99,99.0,Critical
OR,OR,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.99,99.0,Critical
B,B,1.0,Eccentric / Main Shaft Bearing,1.0,0.5725,57.25,High
IR,IR,1.0,Drive Motor Bearing,0.65,0.965,62.724999999999994,High
Normal,Normal,0.050000000000000044,Countershaft Bearing,0.55,0.955,2.6262500000000024,Low
IR,IR,1.0,Drive Motor Bearing,0.65,0.855,55.574999999999996,High
B,B,1.0,Countershaft Bearing,0.55,0.605,33.275,Medium
OR,OR,1.0,Drive Motor Bearing,0.65,0.9924999999999999,64.51249999999999,High
B,B,1.0,Countershaft Bearing,0.55,1.0,55.00000000000001,High
OR,OR,1.0,Drive Motor Bearing,0.65,0.9875,64.18750000000001,High
OR,OR,1.0,Eccentric / Main Shaft Bearing,1.0,0.99,99.0,Critical
B,B,1.0,Countershaft Bearing,0.55,0.8925000000000001,49.087500000000006,Medium
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.9924999999999999,79.4,High
Normal,Normal,0.0,Drive Motor Bearing,0.65,1.0,0.0,Low
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.955,76.4,High
IR,IR,1.0,Eccentric / Main Shaft Bearing,1.0,0.77,77.0,High
B,B,1.0,Countershaft Bearing,0.55,0.8325,45.7875,Medium
IR,IR,1.0,Countershaft Bearing,0.55,0.99,54.449999999999996,Medium
OR,OR,1.0,Drive Motor Bearing,0.65,0.965,62.724999999999994,High
OR,OR,1.0,Rotor Bearing Housing (Impact/Hammer),0.8,0.9724999999999999,77.8,High
IR,IR,1.0,Countershaft Bearing,0.55,0.925,50.875,Medium
IR,IR,1.0,Drive Motor Bearing,0.65,1.0,65.0,High
