true_fault_type,predicted_fault_type,P_fault,equipment,W_severity,W_detection,risk_score,risk_tier
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.685,23.974999999999998,Low
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.7625,57.18749999999999,High
B,B,0.995,Impeller / Filling Head Bearing,0.75,0.9924999999999999,74.06531249999999,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.9775,34.2125,Medium
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.99,79.2,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.99,79.2,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.5725,45.800000000000004,Medium
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.965,62.724999999999994,High
Normal,Normal,0.050000000000000044,Conveyor Belt / Roller Bearing,0.35,0.955,1.6712500000000015,Low
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.855,55.574999999999996,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.605,21.175,Low
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.9924999999999999,64.51249999999999,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.9875,64.18750000000001,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.99,79.2,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.8925000000000001,31.2375,Medium
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.9924999999999999,74.4375,High
Normal,Normal,0.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,0.0,Low
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.955,71.625,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.77,61.60000000000001,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.8325,29.1375,Low
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.99,34.65,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.965,62.724999999999994,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.9724999999999999,72.93749999999999,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.925,32.375,Medium
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.735,55.125,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
Normal,Normal,0.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,0.0,Low
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.99,79.2,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.95,33.24999999999999,Medium
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.9125000000000001,31.937500000000004,Medium
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.975,73.125,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.98,78.4,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.975,34.125,Medium
Normal,Normal,0.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,0.0,Low
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.96,72.0,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.76,60.80000000000001,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.925,69.37500000000001,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.7775,27.212499999999995,Low
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.995,34.825,Medium
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.96,72.0,High
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.9675,72.5625,High
IR,IR,0.995,Impeller / Filling Head Bearing,0.75,0.845,63.058125,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.875,70.0,High
Normal,Normal,0.015000000000000013,Palletizer Servo Drive / Gripper Bearing,0.65,0.985,0.9603750000000009,Low
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.995,79.60000000000001,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.99,64.35,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.9125000000000001,31.937500000000004,Medium
Normal,Normal,0.0050000000000000044,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,0.32337500000000025,Low
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.9875,74.06250000000001,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.8775,65.8125,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.955,71.625,High
Normal,Normal,0.0,Conveyor Belt / Roller Bearing,0.35,1.0,0.0,Low
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.99,74.25,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.745,26.075,Low
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9025000000000001,72.2,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.925,74.00000000000001,High
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.885,57.525000000000006,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.96,62.4,High
