model_source,equipment,true_label,P_fault,W_severity,W_detection,risk_score,risk_tier
CWRU (bearing proxy),Main Table Bearing,OR,1.0,0.85,1.0,85.0,Critical
CWRU (bearing proxy),Separator / Classifier Drive Bearing,B,1.0,0.5,0.685,34.25,Medium
CWRU (bearing proxy),Mill Fan (Hot Gas Draft Fan) Bearing,OR,1.0,0.55,0.995,54.725,Medium
CWRU (bearing proxy),Mill Fan (Hot Gas Draft Fan) Bearing,B,1.0,0.55,0.7625,41.9375,Medium
CWRU (bearing proxy),Mill Fan (Hot Gas Draft Fan) Bearing,B,0.995,0.55,0.9924999999999999,54.314562499999994,Medium
CWRU (bearing proxy),Separator / Classifier Drive Bearing,OR,1.0,0.5,0.9775,48.875,Medium
CWRU (bearing proxy),Main Table Bearing,IR,1.0,0.85,0.99,84.15,Critical
CWRU (bearing proxy),Separator / Classifier Drive Bearing,OR,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Main Table Bearing,OR,1.0,0.85,0.99,84.15,Critical
CWRU (bearing proxy),Main Table Bearing,B,1.0,0.85,0.5725,48.662499999999994,Medium
CWRU (bearing proxy),Mill Fan (Hot Gas Draft Fan) Bearing,IR,1.0,0.55,0.965,53.075,Medium
CWRU (bearing proxy),Separator / Classifier Drive Bearing,Normal,0.050000000000000044,0.5,0.955,2.387500000000002,Low
CWRU (bearing proxy),Separator / Classifier Drive Bearing,IR,1.0,0.5,0.855,42.75,Medium
CWRU (bearing proxy),Separator / Classifier Drive Bearing,B,1.0,0.5,0.605,30.25,Medium
CWRU (bearing proxy),Separator / Classifier Drive Bearing,OR,1.0,0.5,0.9924999999999999,49.625,Medium
CWRU (bearing proxy),Separator / Classifier Drive Bearing,B,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Mill Fan (Hot Gas Draft Fan) Bearing,OR,1.0,0.55,0.9875,54.31250000000001,Medium
CWRU (bearing proxy),Main Table Bearing,OR,1.0,0.85,0.99,84.15,Critical
CWRU (bearing proxy),Separator / Classifier Drive Bearing,B,1.0,0.5,0.8925000000000001,44.625,Medium
CWRU (bearing proxy),Mill Fan (Hot Gas Draft Fan) Bearing,OR,1.0,0.55,0.9924999999999999,54.5875,Medium
CWRU (bearing proxy),Mill Fan (Hot Gas Draft Fan) Bearing,Normal,0.0,0.55,1.0,0.0,Low
CWRU (bearing proxy),Mill Fan (Hot Gas Draft Fan) Bearing,OR,1.0,0.55,0.955,52.525,Medium
CWRU (bearing proxy),Main Table Bearing,IR,1.0,0.85,0.77,65.45,High
CWRU (bearing proxy),Separator / Classifier Drive Bearing,B,1.0,0.5,0.8325,41.625,Medium
CWRU (bearing proxy),Separator / Classifier Drive Bearing,IR,1.0,0.5,0.99,49.5,Medium
