model_source,equipment,true_label,P_fault,W_severity,W_detection,risk_score,risk_tier
CWRU (bearing proxy),Main / Grinding Roller Bearing,OR,1.0,1.0,1.0,100.0,Critical
CWRU (bearing proxy),Seal Air Fan Bearing,B,1.0,0.35,0.685,23.974999999999998,Low
CWRU (bearing proxy),Rotary Feeder Bearing,OR,1.0,0.45,0.995,44.775,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,B,1.0,0.55,0.7625,41.9375,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,B,0.995,0.55,0.9924999999999999,54.314562499999994,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,OR,1.0,0.35,0.9775,34.2125,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,IR,1.0,1.0,0.99,99.0,Critical
CWRU (bearing proxy),Rotary Feeder Bearing,OR,1.0,0.45,1.0,45.0,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,OR,1.0,1.0,0.99,99.0,Critical
CWRU (bearing proxy),Main / Grinding Roller Bearing,B,1.0,1.0,0.5725,57.25,High
CWRU (bearing proxy),Rotary Feeder Bearing,IR,1.0,0.45,0.965,43.425,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,Normal,0.050000000000000044,0.35,0.955,1.6712500000000015,Low
CWRU (bearing proxy),Rotary Feeder Bearing,IR,1.0,0.45,0.855,38.475,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,B,1.0,0.35,0.605,21.175,Low
CWRU (bearing proxy),Rotary Feeder Bearing,OR,1.0,0.45,0.9924999999999999,44.6625,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,B,1.0,0.35,1.0,35.0,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,OR,1.0,0.45,0.9875,44.4375,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,OR,1.0,1.0,0.99,99.0,Critical
CWRU (bearing proxy),Seal Air Fan Bearing,B,1.0,0.35,0.8925000000000001,31.2375,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,OR,1.0,0.55,0.9924999999999999,54.5875,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,Normal,0.0,0.45,1.0,0.0,Low
CWRU (bearing proxy),Classifier / Separator Drive Bearing,OR,1.0,0.55,0.955,52.525,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,IR,1.0,1.0,0.77,77.0,High
CWRU (bearing proxy),Seal Air Fan Bearing,B,1.0,0.35,0.8325,29.1375,Low
CWRU (bearing proxy),Seal Air Fan Bearing,IR,1.0,0.35,0.99,34.65,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,OR,1.0,0.45,0.965,43.425,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,OR,1.0,0.55,0.9724999999999999,53.4875,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,IR,1.0,0.35,0.925,32.375,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,IR,1.0,0.45,1.0,45.0,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,OR,1.0,0.55,1.0,55.00000000000001,High
CWRU (bearing proxy),Classifier / Separator Drive Bearing,B,1.0,0.55,0.735,40.425,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,OR,1.0,1.0,1.0,100.0,Critical
CWRU (bearing proxy),Main / Grinding Roller Bearing,Normal,0.0,1.0,1.0,0.0,Low
CWRU (bearing proxy),Rotary Feeder Bearing,IR,1.0,0.45,0.995,44.775,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,IR,1.0,0.35,1.0,35.0,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,B,1.0,1.0,0.99,99.0,Critical
CWRU (bearing proxy),Seal Air Fan Bearing,OR,1.0,0.35,0.95,33.24999999999999,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,B,1.0,0.35,0.9125000000000001,31.937500000000004,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,IR,1.0,0.55,0.975,53.625,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,OR,1.0,0.45,1.0,45.0,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,OR,1.0,1.0,0.98,98.0,Critical
CWRU (bearing proxy),Seal Air Fan Bearing,IR,1.0,0.35,0.975,34.125,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,Normal,0.0,0.45,1.0,0.0,Low
CWRU (bearing proxy),Classifier / Separator Drive Bearing,IR,1.0,0.55,0.96,52.800000000000004,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,B,1.0,1.0,0.76,76.0,High
CWRU (bearing proxy),Seal Air Fan Bearing,OR,1.0,0.35,1.0,35.0,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,IR,1.0,0.55,0.925,50.875,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,B,1.0,0.35,0.7775,27.212499999999995,Low
CWRU (bearing proxy),Rotary Feeder Bearing,OR,1.0,0.45,1.0,45.0,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,IR,1.0,0.35,0.995,34.825,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,IR,1.0,0.35,1.0,35.0,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,IR,1.0,1.0,1.0,100.0,Critical
CWRU (bearing proxy),Classifier / Separator Drive Bearing,B,1.0,0.55,0.96,52.800000000000004,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,B,1.0,0.55,0.9675,53.212500000000006,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,IR,0.995,0.55,0.845,46.242625,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,IR,1.0,1.0,0.875,87.5,Critical
CWRU (bearing proxy),Rotary Feeder Bearing,Normal,0.015000000000000013,0.45,0.985,0.6648750000000007,Low
CWRU (bearing proxy),Main / Grinding Roller Bearing,OR,1.0,1.0,0.995,99.5,Critical
CWRU (bearing proxy),Rotary Feeder Bearing,IR,1.0,0.45,0.995,44.775,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,IR,1.0,0.45,0.99,44.55,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,OR,1.0,0.35,0.9125000000000001,31.937500000000004,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,Normal,0.0050000000000000044,0.45,0.995,0.2238750000000002,Low
CWRU (bearing proxy),Classifier / Separator Drive Bearing,IR,1.0,0.55,0.9875,54.31250000000001,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,IR,1.0,0.35,1.0,35.0,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,OR,1.0,0.55,0.8775,48.2625,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,IR,1.0,0.55,0.955,52.525,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,Normal,0.0,0.35,1.0,0.0,Low
CWRU (bearing proxy),Classifier / Separator Drive Bearing,OR,1.0,0.55,0.99,54.449999999999996,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,OR,1.0,1.0,1.0,100.0,Critical
CWRU (bearing proxy),Classifier / Separator Drive Bearing,IR,1.0,0.55,1.0,55.00000000000001,High
CWRU (bearing proxy),Seal Air Fan Bearing,OR,1.0,0.35,0.745,26.075,Low
CWRU (bearing proxy),Main / Grinding Roller Bearing,B,1.0,1.0,1.0,100.0,Critical
CWRU (bearing proxy),Classifier / Separator Drive Bearing,OR,1.0,0.55,1.0,55.00000000000001,High
CWRU (bearing proxy),Main / Grinding Roller Bearing,IR,1.0,1.0,0.9025000000000001,90.25000000000001,Critical
CWRU (bearing proxy),Rotary Feeder Bearing,IR,1.0,0.45,1.0,45.0,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,OR,1.0,0.55,1.0,55.00000000000001,High
CWRU (bearing proxy),Classifier / Separator Drive Bearing,IR,1.0,0.55,1.0,55.00000000000001,High
CWRU (bearing proxy),Main / Grinding Roller Bearing,OR,1.0,1.0,0.925,92.5,Critical
CWRU (bearing proxy),Rotary Feeder Bearing,B,1.0,0.45,0.885,39.825,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,IR,1.0,0.45,0.96,43.2,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,B,1.0,0.35,0.5875,20.5625,Low
CWRU (bearing proxy),Classifier / Separator Drive Bearing,OR,1.0,0.55,1.0,55.00000000000001,High
CWRU (bearing proxy),Main / Grinding Roller Bearing,OR,1.0,1.0,0.925,92.5,Critical
CWRU (bearing proxy),Seal Air Fan Bearing,B,1.0,0.35,1.0,35.0,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,IR,1.0,0.45,1.0,45.0,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,OR,1.0,0.45,0.9575,43.0875,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,IR,1.0,1.0,1.0,100.0,Critical
CWRU (bearing proxy),Classifier / Separator Drive Bearing,OR,1.0,0.55,0.885,48.675000000000004,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,B,1.0,0.35,0.625,21.875,Low
CWRU (bearing proxy),Seal Air Fan Bearing,OR,1.0,0.35,1.0,35.0,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,OR,1.0,0.55,0.995,54.725,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,OR,1.0,0.35,1.0,35.0,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,IR,1.0,0.35,1.0,35.0,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,B,1.0,0.55,0.995,54.725,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,Normal,0.0,0.35,1.0,0.0,Low
CWRU (bearing proxy),Classifier / Separator Drive Bearing,OR,1.0,0.55,1.0,55.00000000000001,High
CWRU (bearing proxy),Main / Grinding Roller Bearing,B,1.0,1.0,0.79,79.0,High
CWRU (bearing proxy),Rotary Feeder Bearing,IR,1.0,0.45,1.0,45.0,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,OR,1.0,0.45,0.995,44.775,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,OR,1.0,1.0,0.96,96.0,Critical
CWRU (bearing proxy),Seal Air Fan Bearing,IR,1.0,0.35,0.9875,34.5625,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,OR,1.0,1.0,0.91,91.0,Critical
CWRU (bearing proxy),Seal Air Fan Bearing,OR,1.0,0.35,1.0,35.0,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,OR,1.0,1.0,1.0,100.0,Critical
CWRU (bearing proxy),Seal Air Fan Bearing,OR,1.0,0.35,0.9125000000000001,31.937500000000004,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,B,1.0,0.35,1.0,35.0,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,OR,1.0,0.35,0.9875,34.5625,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,IR,1.0,0.45,0.965,43.425,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,OR,1.0,0.55,1.0,55.00000000000001,High
CWRU (bearing proxy),Rotary Feeder Bearing,B,1.0,0.45,0.825,37.125,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,OR,1.0,0.55,1.0,55.00000000000001,High
CWRU (bearing proxy),Seal Air Fan Bearing,IR,1.0,0.35,0.975,34.125,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,IR,1.0,0.45,0.7025,31.612499999999997,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,OR,1.0,0.55,0.96,52.800000000000004,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,OR,1.0,0.45,0.98,44.1,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,OR,1.0,0.45,1.0,45.0,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,B,1.0,1.0,0.995,99.5,Critical
CWRU (bearing proxy),Main / Grinding Roller Bearing,B,1.0,1.0,0.97,97.0,Critical
CWRU (bearing proxy),Main / Grinding Roller Bearing,OR,1.0,1.0,0.935,93.5,Critical
CWRU (bearing proxy),Main / Grinding Roller Bearing,OR,1.0,1.0,0.95,95.0,Critical
CWRU (bearing proxy),Classifier / Separator Drive Bearing,B,1.0,0.55,0.99,54.449999999999996,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,OR,1.0,0.45,1.0,45.0,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,OR,1.0,0.45,0.945,42.525,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,OR,1.0,0.55,1.0,55.00000000000001,High
CWRU (bearing proxy),Seal Air Fan Bearing,B,1.0,0.35,0.92,32.2,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,IR,1.0,0.45,0.9924999999999999,44.6625,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,B,1.0,1.0,0.62,62.0,High
CWRU (bearing proxy),Seal Air Fan Bearing,B,1.0,0.35,0.985,34.475,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,IR,1.0,0.45,0.95,42.75,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,OR,1.0,0.45,0.995,44.775,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,OR,1.0,0.45,1.0,45.0,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,B,1.0,0.45,0.7075,31.837500000000002,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,B,1.0,1.0,0.835,83.5,Critical
CWRU (bearing proxy),Rotary Feeder Bearing,IR,1.0,0.45,0.9475,42.6375,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,B,1.0,0.35,0.62,21.7,Low
CWRU (bearing proxy),Classifier / Separator Drive Bearing,IR,1.0,0.55,0.8300000000000001,45.650000000000006,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,IR,1.0,0.45,0.995,44.775,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,OR,1.0,1.0,0.995,99.5,Critical
CWRU (bearing proxy),Classifier / Separator Drive Bearing,B,1.0,0.55,0.955,52.525,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,OR,1.0,0.55,0.99,54.449999999999996,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,B,1.0,0.35,1.0,35.0,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,OR,1.0,1.0,0.995,99.5,Critical
CWRU (bearing proxy),Classifier / Separator Drive Bearing,IR,1.0,0.55,0.985,54.175000000000004,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,B,1.0,0.55,0.7025,38.6375,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,OR,1.0,0.35,1.0,35.0,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,B,1.0,0.35,0.945,33.074999999999996,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,Normal,0.0,1.0,1.0,0.0,Low
CWRU (bearing proxy),Main / Grinding Roller Bearing,IR,1.0,1.0,0.94,94.0,Critical
CWRU (bearing proxy),Seal Air Fan Bearing,OR,1.0,0.35,0.8775,30.7125,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,Normal,0.0,1.0,1.0,0.0,Low
CWRU (bearing proxy),Seal Air Fan Bearing,B,1.0,0.35,0.97,33.949999999999996,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,IR,1.0,0.55,0.9524999999999999,52.387499999999996,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,B,1.0,0.35,0.915,32.025,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,B,1.0,0.55,0.8725,47.987500000000004,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,B,1.0,0.55,0.9875,54.31250000000001,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,IR,1.0,0.45,0.995,44.775,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,B,1.0,1.0,0.9425,94.25,Critical
CWRU (bearing proxy),Rotary Feeder Bearing,OR,1.0,0.45,1.0,45.0,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,IR,1.0,0.45,0.995,44.775,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,B,1.0,0.35,0.645,22.575,Low
CWRU (bearing proxy),Seal Air Fan Bearing,OR,1.0,0.35,0.9875,34.5625,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,OR,1.0,0.45,0.97,43.65,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,Normal,0.0,0.55,1.0,0.0,Low
CWRU (bearing proxy),Classifier / Separator Drive Bearing,OR,1.0,0.55,1.0,55.00000000000001,High
CWRU (bearing proxy),Classifier / Separator Drive Bearing,OR,1.0,0.55,0.7,38.5,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,IR,1.0,0.35,1.0,35.0,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,OR,1.0,0.55,0.985,54.175000000000004,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,OR,1.0,1.0,0.855,85.5,Critical
CWRU (bearing proxy),Classifier / Separator Drive Bearing,B,1.0,0.55,0.5325,29.2875,Low
CWRU (bearing proxy),Main / Grinding Roller Bearing,OR,1.0,1.0,0.9475,94.75,Critical
CWRU (bearing proxy),Main / Grinding Roller Bearing,IR,1.0,1.0,0.9775,97.75,Critical
CWRU (bearing proxy),Main / Grinding Roller Bearing,OR,1.0,1.0,0.9824999999999999,98.25,Critical
CWRU (bearing proxy),Seal Air Fan Bearing,OR,1.0,0.35,1.0,35.0,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,IR,1.0,0.45,1.0,45.0,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,OR,1.0,0.45,1.0,45.0,Medium
CWRU (bearing proxy),Classifier / Separator Drive Bearing,Normal,0.0,0.55,1.0,0.0,Low
CWRU (bearing proxy),Rotary Feeder Bearing,B,1.0,0.45,0.71,31.95,Medium
CWRU (bearing proxy),Main / Grinding Roller Bearing,OR,1.0,1.0,0.5525,55.25,High
CWRU (bearing proxy),Seal Air Fan Bearing,IR,1.0,0.35,0.9125000000000001,31.937500000000004,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,OR,1.0,0.45,0.7025,31.612499999999997,Medium
CWRU (bearing proxy),Seal Air Fan Bearing,Normal,0.0,0.35,1.0,0.0,Low
CWRU (bearing proxy),Main / Grinding Roller Bearing,IR,1.0,1.0,0.93,93.0,Critical
CWRU (bearing proxy),Classifier / Separator Drive Bearing,IR,1.0,0.55,0.9575,52.6625,Medium
CWRU (bearing proxy),Rotary Feeder Bearing,OR,1.0,0.45,0.6375,28.6875,Low
