true_fault_type,predicted_fault_type,P_fault,equipment,W_severity,W_detection,risk_score,risk_tier
OR,OR,1.0,Trunnion Bearing (Ball Mill),1.0,1.0,100.0,Critical
B,B,1.0,Separator Bearing,0.3,0.685,20.55,Low
OR,OR,1.0,Main Drive Motor Bearing,0.5,0.995,49.75,Medium
B,B,1.0,Mill Shell Liners,0.55,0.7625,41.9375,Medium
B,B,0.995,Mill Shell Liners,0.55,0.9924999999999999,54.314562499999994,Medium
OR,OR,1.0,Mill Fan / Auxiliary Bearing,0.25,0.9775,24.4375,Low
IR,IR,1.0,Trunnion Bearing (Ball Mill),1.0,0.99,99.0,Critical
OR,OR,1.0,Main Drive Motor Bearing,0.5,1.0,50.0,Medium
OR,OR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.99,94.05,Critical
B,B,1.0,Trunnion Bearing (Ball Mill),1.0,0.5725,57.25,High
IR,IR,1.0,Mill Shell Liners,0.55,0.965,53.075,Medium
Normal,Normal,0.050000000000000044,Mill Fan / Auxiliary Bearing,0.25,0.955,1.193750000000001,Low
IR,IR,1.0,Separator Bearing,0.3,0.855,25.650000000000002,Low
B,B,1.0,Separator Bearing,0.3,0.605,18.15,Low
OR,OR,1.0,Separator Bearing,0.3,0.9924999999999999,29.774999999999995,Low
B,B,1.0,Separator Bearing,0.3,1.0,30.0,Medium
OR,OR,1.0,Mill Shell Liners,0.55,0.9875,54.31250000000001,Medium
OR,OR,1.0,Trunnion Bearing (Ball Mill),1.0,0.99,99.0,Critical
B,B,1.0,Separator Bearing,0.3,0.8925000000000001,26.775,Low
OR,OR,1.0,Mill Shell Liners,0.55,0.9924999999999999,54.5875,Medium
Normal,Normal,0.0,Mill Shell Liners,0.55,1.0,0.0,Low
OR,OR,1.0,Grinding Table / Rollers (VRM),0.8,0.955,76.4,High
IR,IR,1.0,Girth Gear / Pinion / Gearbox,0.95,0.77,73.14999999999999,High
B,B,1.0,Mill Fan / Auxiliary Bearing,0.25,0.8325,20.8125,Low
IR,IR,1.0,Separator Bearing,0.3,0.99,29.7,Low
OR,OR,1.0,Main Drive Motor Bearing,0.5,0.965,48.25,Medium
OR,OR,1.0,Grinding Table / Rollers (VRM),0.8,0.9724999999999999,77.8,High
IR,IR,1.0,Separator Bearing,0.3,0.925,27.750000000000004,Low
IR,IR,1.0,Mill Shell Liners,0.55,1.0,55.00000000000001,High
