model_source,equipment,true_label,P_fault,W_severity,W_detection,risk_score,risk_tier
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,1.0,100.0,Critical
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,0.685,20.55,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,0.995,24.875,Low
CWRU (bearing proxy),Main Drive Motor Bearing,B,1.0,0.5,0.7625,38.125,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,B,0.995,0.5,0.9924999999999999,49.376875,Medium
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,0.9775,29.325000000000003,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),IR,1.0,1.0,0.99,99.0,Critical
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,1.0,25.0,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.99,99.0,Critical
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),B,1.0,1.0,0.5725,57.25,High
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,0.965,24.125,Low
CWRU (bearing proxy),Separator Bearing,Normal,0.050000000000000044,0.3,0.955,1.4325000000000012,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,0.855,21.375,Low
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,0.605,18.15,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,0.9924999999999999,24.8125,Low
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,0.9875,24.6875,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.99,99.0,Critical
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,0.8925000000000001,26.775,Low
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.9924999999999999,49.625,Medium
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,Normal,0.0,0.25,1.0,0.0,Low
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.955,47.75,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),IR,1.0,1.0,0.77,77.0,High
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,0.8325,24.975,Low
CWRU (bearing proxy),Separator Bearing,IR,1.0,0.3,0.99,29.7,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,0.965,24.125,Low
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.9724999999999999,48.62499999999999,Medium
CWRU (bearing proxy),Separator Bearing,IR,1.0,0.3,0.925,27.750000000000004,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,1.0,25.0,Low
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,B,1.0,0.5,0.735,36.75,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,1.0,100.0,Critical
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),Normal,0.0,1.0,1.0,0.0,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,0.995,24.875,Low
CWRU (bearing proxy),Separator Bearing,IR,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),B,1.0,1.0,0.99,99.0,Critical
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,0.95,28.499999999999996,Low
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,0.9125000000000001,27.375,Low
CWRU (bearing proxy),Main Drive Motor Bearing,IR,1.0,0.5,0.975,48.75,Medium
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,1.0,25.0,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.98,98.0,Critical
CWRU (bearing proxy),Separator Bearing,IR,1.0,0.3,0.975,29.25,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,Normal,0.0,0.25,1.0,0.0,Low
CWRU (bearing proxy),Main Drive Motor Bearing,IR,1.0,0.5,0.96,48.0,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),B,1.0,1.0,0.76,76.0,High
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,IR,1.0,0.5,0.925,46.25,Medium
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,0.7775,23.325,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,1.0,25.0,Low
CWRU (bearing proxy),Separator Bearing,IR,1.0,0.3,0.995,29.849999999999998,Low
CWRU (bearing proxy),Separator Bearing,IR,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),IR,1.0,1.0,1.0,100.0,Critical
CWRU (bearing proxy),Main Drive Motor Bearing,B,1.0,0.5,0.96,48.0,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,B,1.0,0.5,0.9675,48.375,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,IR,0.995,0.5,0.845,42.03875,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),IR,1.0,1.0,0.875,87.5,Critical
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,Normal,0.015000000000000013,0.25,0.985,0.3693750000000003,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.995,99.5,Critical
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,0.995,24.875,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,0.99,24.75,Low
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,0.9125000000000001,27.375,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,Normal,0.0050000000000000044,0.25,0.995,0.12437500000000011,Low
CWRU (bearing proxy),Main Drive Motor Bearing,IR,1.0,0.5,0.9875,49.375,Medium
CWRU (bearing proxy),Separator Bearing,IR,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.8775,43.875,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,IR,1.0,0.5,0.955,47.75,Medium
CWRU (bearing proxy),Separator Bearing,Normal,0.0,0.3,1.0,0.0,Low
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.99,49.5,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,1.0,100.0,Critical
CWRU (bearing proxy),Main Drive Motor Bearing,IR,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,0.745,22.35,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),B,1.0,1.0,1.0,100.0,Critical
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),IR,1.0,1.0,0.9025000000000001,90.25000000000001,Critical
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,1.0,25.0,Low
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,IR,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.925,92.5,Critical
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,B,1.0,0.25,0.885,22.125,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,0.96,24.0,Low
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,0.5875,17.625,Low
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.925,92.5,Critical
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,1.0,25.0,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,0.9575,23.9375,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),IR,1.0,1.0,1.0,100.0,Critical
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.885,44.25,Medium
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,0.625,18.75,Low
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.995,49.75,Medium
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Separator Bearing,IR,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,B,1.0,0.5,0.995,49.75,Medium
CWRU (bearing proxy),Separator Bearing,Normal,0.0,0.3,1.0,0.0,Low
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),B,1.0,1.0,0.79,79.0,High
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,1.0,25.0,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,0.995,24.875,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.96,96.0,Critical
CWRU (bearing proxy),Separator Bearing,IR,1.0,0.3,0.9875,29.625,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.91,91.0,Critical
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,1.0,100.0,Critical
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,0.9125000000000001,27.375,Low
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,0.9875,29.625,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,0.965,24.125,Low
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,B,1.0,0.25,0.825,20.625,Low
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Separator Bearing,IR,1.0,0.3,0.975,29.25,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,0.7025,17.5625,Low
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.96,48.0,Medium
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,0.98,24.5,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,1.0,25.0,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),B,1.0,1.0,0.995,99.5,Critical
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),B,1.0,1.0,0.97,97.0,Critical
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.935,93.5,Critical
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.95,95.0,Critical
CWRU (bearing proxy),Main Drive Motor Bearing,B,1.0,0.5,0.99,49.5,Medium
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,1.0,25.0,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,0.945,23.625,Low
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,1.0,50.0,Medium
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,0.92,27.6,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,0.9924999999999999,24.8125,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),B,1.0,1.0,0.62,62.0,High
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,0.985,29.549999999999997,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,0.95,23.75,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,0.995,24.875,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,1.0,25.0,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,B,1.0,0.25,0.7075,17.6875,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),B,1.0,1.0,0.835,83.5,Critical
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,0.9475,23.6875,Low
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,0.62,18.6,Low
CWRU (bearing proxy),Main Drive Motor Bearing,IR,1.0,0.5,0.8300000000000001,41.5,Medium
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,0.995,24.875,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.995,99.5,Critical
CWRU (bearing proxy),Main Drive Motor Bearing,B,1.0,0.5,0.955,47.75,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,OR,1.0,0.5,0.99,49.5,Medium
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),OR,1.0,1.0,0.995,99.5,Critical
CWRU (bearing proxy),Main Drive Motor Bearing,IR,1.0,0.5,0.985,49.25,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,B,1.0,0.5,0.7025,35.125,Medium
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,1.0,30.0,Medium
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,0.945,28.349999999999998,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),Normal,0.0,1.0,1.0,0.0,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),IR,1.0,1.0,0.94,94.0,Critical
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,0.8775,26.325,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),Normal,0.0,1.0,1.0,0.0,Low
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,0.97,29.099999999999998,Low
CWRU (bearing proxy),Main Drive Motor Bearing,IR,1.0,0.5,0.9524999999999999,47.62499999999999,Medium
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,0.915,27.450000000000003,Low
CWRU (bearing proxy),Main Drive Motor Bearing,B,1.0,0.5,0.8725,43.625,Medium
CWRU (bearing proxy),Main Drive Motor Bearing,B,1.0,0.5,0.9875,49.375,Medium
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,0.995,24.875,Low
CWRU (bearing proxy),Trunnion Bearing (Ball Mill),B,1.0,1.0,0.9425,94.25,Critical
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,1.0,25.0,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,IR,1.0,0.25,0.995,24.875,Low
CWRU (bearing proxy),Separator Bearing,B,1.0,0.3,0.645,19.35,Low
CWRU (bearing proxy),Separator Bearing,OR,1.0,0.3,0.9875,29.625,Low
CWRU (bearing proxy),Mill Fan / Auxiliary Bearing,OR,1.0,0.25,0.97,24.25,Low
